WARNING: 1 open meshes merged
     Merged: HT
...Mass Properties...
9 Num Comps
9 Total Num Meshes
21352 Total Num Tris

24.706390             Total Mass
6.224955 -0.000738 0.212320       Center of Gravity
224.834198 227.640065 429.120628       Ixx, Iyy, Izz
-0.008678 10.397680 -0.011042       Ixy, Ixz, Iyz
24.706390             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FuselageGeom	17.062484	5.446747	-0.000958	0.090201	4.747616	154.373639	153.353861	-0.019920	-0.767093	-0.004347	17.062484
WingGeom	2.615752	6.832358	5.353350	0.314812	29.114014	0.513449	29.516039	0.759962	0.012105	0.884858	2.615752
WingGeom	2.615913	6.832368	-5.353737	0.314835	29.120994	0.513408	29.523069	-0.760162	0.012095	-0.882133	2.615913
VT	0.592529	10.480250	0.000000	1.439326	0.159285	0.238032	0.091156	-0.000003	0.058360	0.000006	0.592529
HT	0.865512	11.305091	0.000000	2.665006	3.198629	0.100279	3.296050	-0.000008	0.004860	0.000128	0.865512
Fin	0.848521	10.391045	0.000000	-1.227349	0.284603	0.422196	0.159745	0.000008	-0.092496	-0.000002	0.848521
PropGeom	0.009710	12.026597	0.725154	-0.466114	0.001678	0.000813	0.000948	-0.000000	0.000000	-0.000834	0.009710
PropGeom	0.009710	12.026597	-0.725154	0.866114	0.001677	0.000813	0.000948	-0.000000	0.000000	-0.000834	0.009710
EllipsoidGeom	0.086258	0.827402	-0.000005	-0.722721	0.002895	0.003150	0.003425	0.000001	-0.000118	0.000020	0.086258
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	24.706390	6.224955	-0.000738	0.212320	224.834198	227.640065	429.120628	-0.008678	10.397680	-0.011042	24.706390
